Task,Setup,Model,CV mean±CI,Sig vs NV (†),NV(Test) metric
binary,A,RF,0.916 ± 0.017,†,0.923
binary,A,XGB,0.924 ± 0.017,†,0.923
binary,A,SVM,0.915 ± 0.018,†,0.923
binary,A,MLP,0.883 ± 0.019,,0.923
binary,A,LR,0.899 ± 0.024,,0.923
binary,B,RF,0.907 ± 0.015,†,0.862
binary,B,XGB,0.902 ± 0.020,†,0.862
binary,B,SVM,0.891 ± 0.018,,0.862
binary,B,MLP,0.851 ± 0.020,,0.862
binary,B,LR,0.878 ± 0.024,,0.862
binary,C,RF,0.852 ± 0.009,,0.846
binary,C,XGB,0.853 ± 0.018,,0.846
binary,C,SVM,0.856 ± 0.017,,0.846
binary,C,MLP,0.835 ± 0.013,,0.846
binary,C,LR,0.756 ± 0.024,,0.846
fivecls,A,RF,0.735 ± 0.022,†,0.185
fivecls,A,XGB,0.694 ± 0.020,†,0.185
fivecls,A,SVM,0.655 ± 0.024,†,0.185
fivecls,A,MLP,0.472 ± 0.038,†,0.185
fivecls,A,LR,0.674 ± 0.027,†,0.185
fivecls,B,RF,0.576 ± 0.028,†,0.154
fivecls,B,XGB,0.554 ± 0.029,†,0.154
fivecls,B,SVM,0.537 ± 0.025,†,0.154
fivecls,B,MLP,0.409 ± 0.030,†,0.154
fivecls,B,LR,0.549 ± 0.024,†,0.154
fivecls,C,RF,0.374 ± 0.027,†,0.308
fivecls,C,XGB,0.351 ± 0.031,†,0.308
fivecls,C,SVM,0.370 ± 0.028,†,0.308
fivecls,C,MLP,0.328 ± 0.030,,0.308
fivecls,C,LR,0.333 ± 0.025,,0.308
reg,A,RF,1.330 ± 0.153,,0.850
reg,A,XGB,1.422 ± 0.164,,0.850
reg,A,SVM,1.662 ± 0.200,,0.850
reg,A,MLP,1.778 ± 0.181,,0.850
reg,A,GLM,1.292 ± 0.157,†,0.850
reg,B,RF,1.836 ± 0.124,,1.247
reg,B,XGB,1.960 ± 0.139,,1.247
reg,B,SVM,1.990 ± 0.193,,1.247
reg,B,MLP,2.208 ± 0.170,,1.247
reg,B,GLM,1.872 ± 0.150,,1.247
reg,C,RF,2.813 ± 0.202,†,3.071
reg,C,XGB,2.880 ± 0.199,†,3.071
reg,C,SVM,2.700 ± 0.190,†,3.071
reg,C,MLP,2.843 ± 0.165,†,3.071
reg,C,GLM,2.726 ± 0.187,†,3.071
